fecha,medicion,temperatura
2018-05-30,798.0,15.204166666666666
2018-05-31,699.0,18.71875
2018-06-01,937.0,18.458333333333332
2018-06-02,453.0,16.733333333333334
2018-06-03,572.0,18.258333333333333
2018-06-04,413.0,16.970833333333335
2018-06-05,514.0,15.975
2018-06-06,667.0,15.366666666666667
2018-06-07,874.0,17.966666666666665
2018-06-08,806.0,16.779166666666665
2018-06-09,572.0,16.254166666666666
2018-06-10,564.0,15.8125
2018-06-11,481.0,16.683333333333334
2018-06-12,753.0,18.554166666666667
2018-06-13,525.0,19.037499999999998
2018-06-14,607.0,19.839583333333334
2018-06-15,903.0,22.287499999999998
2018-06-16,394.0,24.145833333333332
2018-06-17,382.0,24.229166666666668
2018-06-18,506.0,24.804166666666664
2018-06-19,600.0,24.775000000000002
2018-06-20,756.0,26.375
2018-06-21,801.0,26.554166666666664
2018-06-22,994.0,26.491666666666664
2018-06-23,542.0,27.90833333333333
2018-06-24,560.0,28.150000000000002
2018-06-25,800.0,28.754166666666666
2018-06-26,801.0,28.254166666666666
2018-06-27,777.0,26.920833333333334
2018-06-28,749.0,25.733333333333334
2018-06-29,641.0,24.379166666666666
2018-06-30,415.0,23.208333333333332
2018-07-01,272.0,23.708333333333332
2018-07-02,492.0,22.433333333333334
2018-07-03,796.0,23.7375
2018-07-04,811.0,23.054166666666664
2018-07-05,671.0,22.983333333333334
2018-07-06,686.0,24.920833333333334
2018-07-07,681.0,26.625
2018-07-08,426.0,26.945833333333336
2018-07-09,647.0,27.77916666666667
2018-07-10,556.0,27.854166666666668
2018-07-11,649.0,26.883333333333336
2018-07-12,710.0,25.95
2018-07-13,642.0,27.320833333333336
2018-07-14,580.0,27.483333333333334
2018-07-15,392.0,23.883333333333336
2018-07-16,479.0,24.008333333333336
2018-07-17,711.0,26.170833333333334
2018-07-18,723.0,27.0625
2018-07-19,945.0,25.816666666666666
2018-07-20,769.0,23.90833333333333
2018-07-21,305.0,23.454166666666666
2018-07-22,415.0,25.041666666666668
2018-07-23,657.0,27.466666666666665
2018-07-24,709.0,26.90416666666667
2018-07-25,918.0,26.47083333333333
2018-07-26,1035.0,26.974999999999998
2018-07-27,921.0,26.875
2018-07-28,534.0,26.545833333333334
2018-07-29,360.0,26.366666666666664
2018-07-30,895.0,26.15833333333333
2018-07-31,1006.0,27.116666666666664
2018-08-01,1239.0,28.495833333333334
2018-08-02,1274.0,30.5
2018-08-03,779.0,32.112500000000004
2018-08-04,457.0,30.333333333333332
2018-08-05,398.0,30.362499999999997
2018-08-06,884.0,29.983333333333334
2018-08-07,754.0,29.962500000000002
2018-08-08,675.0,27.366666666666664
2018-08-09,494.0,25.474999999999998
2018-08-10,424.0,24.90416666666667
2018-08-11,498.0,27.40416666666667
2018-08-12,509.0,28.191666666666666
2018-08-13,661.0,26.4375
2018-08-14,446.0,26.241666666666664
2018-08-15,424.0,26.758333333333336
2018-08-16,588.0,26.133333333333336
2018-08-17,475.0,24.808333333333334
2018-08-18,238.0,23.804166666666664
2018-08-19,446.0,25.2
2018-08-20,707.0,25.8125
2018-08-21,874.0,26.037499999999998
2018-08-22,783.0,25.695833333333336
2018-08-23,988.0,26.083333333333332
2018-08-24,697.0,25.6375
2018-08-25,436.0,24.641666666666666
2018-08-26,499.0,24.254166666666666
2018-08-27,1167.0,26.495833333333334
2018-08-28,940.0,27.433333333333334
2018-08-29,991.0,26.15416666666667
2018-08-30,760.0,25.858333333333334
2018-08-31,669.0,26.77916666666667
2018-09-01,701.0,26.758333333333336
2018-09-02,572.0,27.754166666666666
2018-09-03,789.0,26.454166666666666
2018-09-04,833.0,24.204166666666666
2018-09-05,668.0,23.254166666666666
2018-09-06,782.0,21.287499999999998
2018-09-07,557.0,22.008333333333336
2018-09-08,680.0,19.895833333333332
2018-09-09,813.0,21.425
2018-09-10,633.0,22.266666666666666
2018-09-11,735.0,22.195833333333336
2018-09-12,1079.0,22.416666666666668
2018-09-13,1330.0,24.179166666666664
2018-09-14,1082.0,24.53333333333333
2018-09-15,586.0,23.95
2018-09-16,820.0,23.254166666666666
2018-09-17,909.0,23.5
2018-09-18,1025.0,22.0625
2018-09-19,1267.0,23.3125
2018-09-20,1242.0,23.75
2018-09-21,1183.0,24.4375
2018-09-22,1017.0,25.09583333333333
2018-09-23,808.0,25.229166666666668
2018-09-24,622.0,25.641666666666666
2018-09-25,878.0,23.179166666666664
2018-09-26,524.0,22.787499999999998
2018-09-27,1124.0,21.091666666666665
2018-09-28,1348.0,21.283333333333335
